drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
KET,Nucleus prepositus,169,96.68074037509471,116.06968177267501,187.36043090283286,12.647837612457716,52.964197116818724,127.96346370761047,0.0,0.06401009736747205,0.3937793003966822
KET,Dorsal part of the lateral geniculate complex,170,67.62759578078324,105.71472497856581,186.90172110478824,11.741736501960949,44.12254095749465,126.26335529909267,0.0,0.0012441399206635413,0.04908041831950956
KET,Retrochiasmatic area,173,127.01934588764482,165.3017976860362,209.71976224039457,20.638946437494326,108.33400504560362,177.10535925179482,0.0,0.22632527948070683,0.4280201947349441
KET,Nucleus of Roller,177,129.00878050740673,163.12673630306463,211.38991197587723,20.557769441501623,107.37456738520234,184.45711877117782,0.0,0.015514623614154807,0.36031373963216734
KET,Ventral part of the lateral geniculate complex,178,111.16311655414982,144.98228238621942,210.9758957468427,16.23733899291344,99.99383907552654,182.04920047388268,0.0,0.14145329967544176,0.3433104940497656
KET,Nucleus of reuniens,181,96.4216725979613,115.53128634617556,181.41368177349062,11.25904396054417,50.365615898737076,115.99783713121464,0.02160115398485395,0.08171655247024882,0.29098449332852505
KET,Frontal pole cerebral cortex,184,128.44412507837117,155.398745621847,206.3804135351626,17.336096819193923,102.52450082026387,164.1001488687247,0.0,0.18265416516408223,0.3119365308330328
KET,Lateral habenula,186,105.24707846348734,149.53189512380857,205.29303967091863,17.141052540295895,105.0926417205349,161.36721270448726,0.0,0.12084385142445006,0.3795167688424089
KET,Rhomboid nucleus,189,147.81168717176794,175.4613830959916,211.07602347807293,24.628212605727363,125.72580467704341,182.80021156290348,0.0,0.019329246303642265,0.3338983050847458
KET,Lateral hypothalamic area,194,133.43707673064307,185.89497770377739,203.1259089088872,23.87100683834129,129.1516161116104,160.7458786729623,0.0,0.012693833393436712,0.2691669671835557
KET,Rostral linear nucleus raphe,197,70.41512360983683,112.77200448255337,150.462574787393,6.324349077495774,49.93592349697438,84.88072381380736,0.004363505228993869,0.033357374684457264,0.19639379733141002
KET,Medial vestibular nucleus,202,147.07297948206855,171.16947454511674,206.94781008338794,22.080075437345062,115.46637345450658,165.69395776770335,0.0,0.2904435629282366,0.3295347998557519
KET,Linear nucleus of the medulla,203,144.13509410398353,173.57695357965986,210.56695284869113,23.49857058321752,118.5751576293743,180.17218642451826,0.005048683736025965,0.26359538406058425,0.3443923548503426
KET,Nucleus raphe magnus,206,141.39658590899842,172.87588131931005,210.24570503107307,23.14356782223203,117.38313800567883,178.5122500709218,0.0,0.26222502704652,0.3452217814641183
KET,Area postrema,207,76.0093507505924,105.8811458127924,174.07326949895966,9.861988456452549,45.438244762609514,91.3558238262726,0.0,0.0066714749368914535,0.26263974035340787
KET,Lateral vestibular nucleus,209,148.78158382727145,175.86248405558518,209.53909453358096,25.212988005281794,125.91585919249462,175.46533789775302,0.0,0.0032455824017309774,0.38959610530111793
KET,Lateral mammillary nucleus,210,150.64633863867203,174.05070719369252,208.79353729169185,22.936343255473805,118.33185347434264,170.85280151003607,0.0,0.0032455824017309774,0.3615939415795168
KET,Red nucleus,214,118.90432403290401,147.2030112473162,185.43106426169675,14.252326638444062,69.96008482161575,143.85554601825086,0.0,0.06325279480706816,0.37648755860079336
KET,Anterior pretectal nucleus,215,72.91173292095498,124.65158305003139,183.47585467384008,6.362494822063363,72.55706574287238,144.40797467380082,0.006887847097006852,0.15872701045798773,0.4216011539848539
KET,Superior vestibular nucleus,217,71.34998143274649,133.9237298109675,190.7415811907691,5.437450192194066,75.5392080682748,159.99853553416895,0.0027407140281283807,0.2000721240533718,0.4136314460872701
